SCHOOL_YEAR,STATENAME,ST,SCH_NAME,NCESSCH,LSTREET1,LSTREET2,LSTREET3,LCITY,LSTATE,SY_STATUS,SY_STATUS_TEXT,CHARTER_TEXT,GSLO,GSHI,LEVEL
2016-2017,CALIFORNIA,CA,Aspire Rosa Parks Academy,63801011423,1930 S. D St.,,,Stockton,CA,1,Open,Yes,KG,05,Elementary
2016-2017,CALIFORNIA,CA,Pittman Charter,63801011780,701 E. Park St.,,,Stockton,CA,1,Open,Yes,KG,08,Elementary
2016-2017,CALIFORNIA,CA,Aspire Port City Academy,63801012106,2040 W. Ln.,,,Stockton,CA,1,Open,Yes,KG,05,Elementary
2016-2017,CALIFORNIA,CA,Aspire Langston Hughes Academy,63801012244,2050 W. Ln.,,,Stockton,CA,1,Open,Yes,06,12,Other
2016-2017,CALIFORNIA,CA,Dr. Lewis Dolphin Stallworth Sr. Charter,63801012374,1610 E. Main St.,,,Stockton,CA,1,Open,Yes,KG,08,Elementary
2016-2017,CALIFORNIA,CA,Stockton Unified Early College Academy,63801012446,349 E. Vine St.,,,Stockton,CA,1,Open,Yes,09,12,High
2016-2017,CALIFORNIA,CA,Stockton Collegiate International Elementary,63801012451,321 E. Weber Ave.,,,Stockton,CA,1,Open,Yes,KG,05,Elementary
2016-2017,CALIFORNIA,CA,Stockton Collegiate International Secondary,63801012547,One N. Sutter,,,Stockton,CA,1,Open,Yes,06,12,Other
2016-2017,CALIFORNIA,CA,Health Careers Academy,63801012644,931 E. Magnolia St.,,,Stockton,CA,1,Open,Yes,09,12,High
2016-2017,CALIFORNIA,CA,Aspire APEX Academy,63801012659,444 N. American St.,,,Stockton,CA,1,Open,Yes,KG,05,Elementary
2016-2017,CALIFORNIA,CA,Pacific Law Academy,63801012846,1621 Brookside Rd.,,,Stockton,CA,1,Open,Yes,09,12,High
2016-2017,CALIFORNIA,CA,TEAM Charter,63801012900,600 E. Main St.,,,Stockton,CA,1,Open,Yes,KG,05,Elementary
2016-2017,CALIFORNIA,CA,Crescent Valley Public Charter,63804012734,309 W. Main St. Ste. 110,,,Visalia,CA,1,Open,Yes,KG,12,Other
2016-2017,CALIFORNIA,CA,Connections Visual and Performing Arts Academy,63828010707,17555 Tuolumne Rd.,,,Tuolumne,CA,1,Open,Yes,07,12,High
2016-2017,CALIFORNIA,CA,Gold Rush Charter,63828011827,16331 Hidden Valley Rd.,,,Sonora,CA,1,Open,Yes,KG,12,Other
2016-2017,CALIFORNIA,CA,MAAC Community Charter,63864010384,1385 Third Ave.,,,Chula Vista,CA,1,Open,Yes,09,12,High
2016-2017,CALIFORNIA,CA,Stephen W. Hawking Charter,63864013113,1355 Second Ave.,,,Chula Vista,CA,1,Open,Yes,KG,12,Other
2016-2017,CALIFORNIA,CA,Stephen W. Hawking II Sci Tech Engr Art and Math Charter,63864013457,2710 Iris Ave.,,,San Diego,CA,1,Open,Yes,KG,12,Other
2016-2017,CALIFORNIA,CA,Aspire University Charter,63867012365,3313 Coffee Rd.,,,Modesto,CA,1,Open,Yes,KG,05,Elementary
2016-2017,CALIFORNIA,CA,Sierra Expeditionary Learning,63877012628,11603 Donner Pass Rd.,,,Truckee,CA,1,Open,Yes,KG,08,Elementary
2016-2017,CALIFORNIA,CA,California STEAM San Bernardino,63984014057,83600 Trona Rd.,,,Trona,CA,3,New,Yes,KG,12,Other
2016-2017,CALIFORNIA,CA,Sierra Vista Charter High,63993004203,351 N. K St.,,,Tulare,CA,1,Open,Yes,09,12,High
2016-2017,CALIFORNIA,CA,Accelerated Charter High,63993013976,4136 N. Mooney Blvd.,,,Tulare,CA,3,New,Yes,09,12,High
2016-2017,CALIFORNIA,CA,Twin Hills Charter Middle,64023006653,1685 Water Trough Rd.,,,Sebastopol,CA,1,Open,Yes,06,08,Middle
2016-2017,CALIFORNIA,CA,Orchard View,64023008651,700 Water Trough Rd.,,,Sebastopol,CA,1,Open,Yes,KG,12,Other
2016-2017,CALIFORNIA,CA,Sunridge Charter,64023010687,7285 Hayden Ave.,,,Sebastopol,CA,1,Open,Yes,KG,08,Elementary
2016-2017,CALIFORNIA,CA,Redwood Academy of Ukiah,64030008520,1059 N. State St.,,,Ukiah,CA,1,Open,Yes,07,12,High
2016-2017,CALIFORNIA,CA,Tree of Life Charter,64030008521,241 Ford Rd.,,,Ukiah,CA,1,Open,Yes,KG,08,Elementary
2016-2017,CALIFORNIA,CA,Accelerated Achievement Academy,64030010552,1031 N. State St.,,,Ukiah,CA,1,Open,Yes,04,12,Other
2016-2017,CALIFORNIA,CA,River Oak Charter,64030012026,555 Leslie St.,,,Ukiah,CA,1,Open,Yes,KG,08,Elementary
2016-2017,CALIFORNIA,CA,Union Hill Elementary,64038006681,11638 Colfax Hwy.,,,Grass Valley,CA,1,Open,Yes,KG,06,Elementary
2016-2017,CALIFORNIA,CA,Elise P. Buckingham Charter Magnet High,64059002846,188-B Bella Vista Rd.,,,Vacaville,CA,1,Open,Yes,09,12,High
2016-2017,CALIFORNIA,CA,Fairmont Charter Elementary,64059006701,1355 Marshall Rd.,,,Vacaville,CA,1,Open,Yes,KG,06,Elementary
2016-2017,CALIFORNIA,CA,Alternative Cooperative Education Charter,64059012697,400 Hemlock St.,,,Vacaville,CA,1,Open,Yes,KG,06,Elementary
2016-2017,CALIFORNIA,CA,Kairos Public School Vacaville Academy,64059013743,129 Elm St.,,,Vacaville,CA,1,Open,Yes,KG,08,Elementary
2016-2017,CALIFORNIA,CA,Ernest Kimme Charter Academy for Independent Learning,64059014015,301 Bel Air Dr.,,,Vacaville,CA,3,New,Yes,KG,12,Other
2016-2017,CALIFORNIA,CA,Taylion San Diego Academy,64071013696,100 N. Rancho Sante Fe Rd.,,,San Marcos,CA,1,Open,Yes,KG,12,Other
2016-2017,CALIFORNIA,CA,Mare Island Technology Academy,64074008398,2 Positive Pl.,,,Vallejo,CA,1,Open,Yes,06,08,Middle
2016-2017,CALIFORNIA,CA,MIT Academy,64074010681,2 Positive Pl.,,,Vallejo,CA,1,Open,Yes,09,12,High
2016-2017,CALIFORNIA,CA,Vallejo Charter,64074012088,2833 Tennessee St.,,,Vallejo,CA,1,Open,Yes,KG,08,Elementary
2016-2017,CALIFORNIA,CA,Caliber: ChangeMakers Academy,64074014030,1357 Colusa St.,,,Vallejo,CA,3,New,Yes,KG,08,Elementary
2016-2017,CALIFORNIA,CA,Sixth Street Prep,64104007280,15476 Sixth St.,,,Victorville,CA,1,Open,Yes,KG,06,Elementary
2016-2017,CALIFORNIA,CA,Mountain View Montessori Charter,64104008587,17000 Silica Dr.,,,Victorville,CA,1,Open,Yes,KG,06,Elementary
2016-2017,CALIFORNIA,CA,Charter Alternatives Academy,64116008423,28050 Rd. 148,,,Visalia,CA,1,Open,Yes,07,12,High
2016-2017,CALIFORNIA,CA,Charter Home School Academy,64116008424,211 W. Tulare Ave.,,,Visalia,CA,1,Open,Yes,KG,08,Elementary
2016-2017,CALIFORNIA,CA,Visalia Charter Independent Study,64116011823,1821 W. Meadow Ln.,,,Visalia,CA,1,Open,Yes,07,12,High
2016-2017,CALIFORNIA,CA,Visalia Technical Early College,64116012503,2245 S. Linwood,,,Visalia,CA,1,Open,Yes,09,12,High
2016-2017,CALIFORNIA,CA,Sycamore Valley Academy,64116013015,6832 Ave. 280,,,Visalia,CA,1,Open,Yes,KG,08,Elementary
2016-2017,CALIFORNIA,CA,Guajome Park Academy Charter,64119003964,2000 N. Santa Fe Ave.,,,Vista,CA,1,Open,Yes,KG,12,Other
2016-2017,CALIFORNIA,CA,SIATech,64119011401,2611 Temple Heights Dr.,Ste. A,,Oceanside,CA,1,Open,Yes,11,12,High
2016-2017,CALIFORNIA,CA,North County Trade Tech High,64119011970,1126 N. Melrose Dr. Ste. 301,,,Vista,CA,1,Open,Yes,09,12,High
2016-2017,CALIFORNIA,CA,Guajome Learning Center,64119012930,2000 N. Santa Fe Ave.,,,Vista,CA,1,Open,Yes,KG,12,Other
2016-2017,CALIFORNIA,CA,Bella Mente Montessori Academy,64119013667,1737 W. Vista Way,,,Vista,CA,1,Open,Yes,KG,08,Elementary
2016-2017,CALIFORNIA,CA,West Sacramento Early College Prep Charter,64158012111,1504 Fallbrook St.,,,West Sacramento,CA,1,Open,Yes,06,12,Other
2016-2017,CALIFORNIA,CA,Sacramento Valley Charter,64158012962,2399 Sellers Way,,,West Sacramento,CA,1,Open,Yes,KG,08,Elementary
2016-2017,CALIFORNIA,CA,River Charter Schools Lighthouse Charter,64158013849,1500 Park Blvd.,,,West Sacramento,CA,1,Open,Yes,KG,08,Elementary
2016-2017,CALIFORNIA,CA,San Jose Charter Academy,64200007533,2021 W. Alwood St.,,,West Covina,CA,1,Open,Yes,KG,08,Elementary
2016-2017,CALIFORNIA,CA,California Virtual Academy @ Los Angeles,64200012034,50 Moreland Rd.,,,Simi Valley,CA,1,Open,Yes,KG,12,Other
2016-2017,CALIFORNIA,CA,West Park Charter Academy,64206003032,2695 S. Valentine Ave.,,,Fresno,CA,1,Open,Yes,KG,12,Other
2016-2017,CALIFORNIA,CA,Horizon Charter,64214003557,2800 Nicolaus Rd. Ste. 100,,,Lincoln,CA,1,Open,Yes,KG,12,Other
2016-2017,CALIFORNIA,CA,Partnerships for Student-Centered Learning,64214012754,2800 Nicolaus Rd. Ste. 100,,,Lincoln,CA,1,Open,Yes,KG,12,Other
2016-2017,CALIFORNIA,CA,Crescent View South Charter,64221012485,4348 W. Shaw Ave.,,,Fresno,CA,1,Open,Yes,KG,12,Other
2016-2017,CALIFORNIA,CA,Opportunities For Learning - Fresno,64221013118,1603 E. St.,,,Fresno,CA,1,Open,Yes,07,12,High
2016-2017,CALIFORNIA,CA,Inspire Charter Schools - Central,64221014019,1781 E. Fir Ave. Ste. 102,,,Fresno,CA,3,New,Yes,KG,12,Other
2016-2017,CALIFORNIA,CA,Westwood Charter,64230010513,313 Birch St.,,,Westwood,CA,1,Open,Yes,KG,12,Other
2016-2017,CALIFORNIA,CA,Wheatland Charter Academy,64233011548,123 Beale Hwy.,,,Beale AFB,CA,1,Open,Yes,KG,05,Elementary
2016-2017,CALIFORNIA,CA,Northern Summit Academy,64242013799,3435 Main St. Ste. C,,,Cottonwood,CA,1,Open,Yes,KG,12,Other
2016-2017,CALIFORNIA,CA,New Day Academy - Shasta,64242014052,30611 Whitmore Rd.,,,Whitmore,CA,3,New,Yes,KG,12,Other
2016-2017,CALIFORNIA,CA,Opportunities for Learning - Santa Clarita,64251008070,320 N. Halstead St. Ste. 200,,,Pasadena,CA,1,Open,Yes,07,12,High
2016-2017,CALIFORNIA,CA,Mission View Public,64251011906,26334 Citrus St.,,,Santa Clarita,CA,1,Open,Yes,KG,12,Other
2016-2017,CALIFORNIA,CA,Santa Clarita Valley International,64251012191,28060 Hasley Canyon Rd.,Ste. 200,,Castaic,CA,1,Open,Yes,KG,12,Other
2016-2017,CALIFORNIA,CA,Albert Einstein Academy for Letters Arts and Sciences,64251012655,28141 Kelly Johnson Pkwy.,,,Santa Clarita,CA,1,Open,Yes,07,12,High
2016-2017,CALIFORNIA,CA,Willits Charter,64256008213,1431 S. Main St.,,,Willits,CA,1,Open,Yes,06,12,Other
2016-2017,CALIFORNIA,CA,La Vida Charter,64256011686,16201 N. Highway 101,,,Willits,CA,1,Open,Yes,KG,12,Other
2016-2017,CALIFORNIA,CA,Willits Elementary Charter,64256013021,405 E. Commercial St.,,,Willits,CA,1,Open,Yes,KG,05,Elementary
2016-2017,CALIFORNIA,CA,Winship Community,64290006984,4305 S. Meridian Rd.,,,Meridian,CA,1,Open,Yes,KG,08,Elementary
2016-2017,CALIFORNIA,CA,Inspire Charter School - North,64290014025,4305 S. Meridian Rd.,,,Meridian,CA,3,New,Yes,KG,12,Other
2016-2017,CALIFORNIA,CA,Science & Technology Academy at Knights Landing,64308012745,9544 Mill St.,,,Knights Landing,CA,1,Open,Yes,KG,06,Elementary
2016-2017,CALIFORNIA,CA,Wright Charter,64320007016,4389 Price Ave.,,,Santa Rosa,CA,1,Open,Yes,KG,08,Elementary
2016-2017,CALIFORNIA,CA,Yuba City Charter,64347008658,256 Wilbur Ave.,,,Yuba City,CA,1,Open,Yes,KG,12,Other
2016-2017,CALIFORNIA,CA,Twin Rivers Charter,64347011519,2510 Live Oak Blvd,,,Yuba City,CA,1,Open,Yes,KG,08,Elementary
2016-2017,CALIFORNIA,CA,Inland Leaders Charter,64356011884,12375 California St.,,,Yucaipa,CA,1,Open,Yes,KG,08,Elementary
2016-2017,CALIFORNIA,CA,Competitive Edge Charter Academy (CECA),64356012910,34450 Stonewood Dr.,,,Yucaipa,CA,1,Open,Yes,KG,08,Elementary
2016-2017,CALIFORNIA,CA,Shenandoah Valley,69100113745,10010 Shenandoah Rd.,,,Plymouth,CA,1,Open,Yes,06,08,Middle
2016-2017,CALIFORNIA,CA,Learning Community Charter,69100205704,2280 6th St.,,,Oroville,CA,1,Open,Yes,KG,12,Other
2016-2017,CALIFORNIA,CA,CORE Butte Charter,69100211953,260 Cohasset Rd. Ste. 120,,,Chico,CA,1,Open,Yes,KG,12,Other
2016-2017,CALIFORNIA,CA,Come Back Butte Charter,69100214048,5 Co Center Dr.,,,Oroville,CA,3,New,Yes,11,12,High
2016-2017,CALIFORNIA,CA,Mountain Oaks,69100308686,150 Old Oak Rd.,,,San Andreas,CA,1,Open,Yes,KG,12,Other
2016-2017,CALIFORNIA,CA,Clayton Valley Charter High,69100503940,1101 Alberta Way,,,Concord,CA,1,Open,Yes,09,12,High
2016-2017,CALIFORNIA,CA,Making Waves Academy,69100512043,4123 Lakeside Dr.,,,Richmond,CA,1,Open,Yes,05,12,Other
2016-2017,CALIFORNIA,CA,Caliber: Beta Academy,69100513746,4301 Berk Ave.,,,Richmond,CA,1,Open,Yes,KG,08,Elementary
2016-2017,CALIFORNIA,CA,Summit Public School K2,69100513776,1800 Elm St.,,,El Cerrito,CA,1,Open,Yes,07,12,High
2016-2017,CALIFORNIA,CA,Contra Costa School of Performing Arts,69100514059,190 N. Wiget Ln.,,,Walnut Creek,CA,3,New,Yes,06,12,Other
2016-2017,CALIFORNIA,CA,Charter Community School Home Study Academy,69100601981,6767 Green Valley Rd.,,,Placerville,CA,1,Open,Yes,KG,12,Other
2016-2017,CALIFORNIA,CA,Rite of Passage,69100602957,100 Rosaschi Rd.,,,Yerington,CA,1,Open,Yes,09,12,High
2016-2017,CALIFORNIA,CA,Charter Alternative Program (CAP),69100612762,6520 Oak Dell Rd.,,,El Dorado,CA,1,Open,Yes,KG,08,Elementary
2016-2017,CALIFORNIA,CA,Edison-Bethune Charter Academy,69100707958,1616 S. Fruit St.,,,Fresno,CA,1,Open,Yes,KG,06,Elementary
2016-2017,CALIFORNIA,CA,Crescent View West Charter,69100710789,1901 E. Shields Ave. Ste. 130,,,Fresno,CA,1,Open,Yes,KG,12,Other
2016-2017,CALIFORNIA,CA,Hume Lake Charter,69100711584,64144 Hume Lake Rd.,,,Hume,CA,1,Open,Yes,KG,12,Other
2016-2017,CALIFORNIA,CA,Big Picture Educational Academy,69100712427,1207 S. Trinity St.,,,Fresno,CA,1,Open,Yes,KG,12,Other
2016-2017,CALIFORNIA,CA,William Finch,69100808479,607 E. Tehama St.,,,Orland,CA,1,Open,Yes,KG,12,Other
2016-2017,CALIFORNIA,CA,Walden Academy,69100812983,1149 W. Wood St.,,,Willows,CA,1,Open,Yes,KG,08,Elementary
2016-2017,CALIFORNIA,CA,Success One!,69100813810,451 S. Villa Ave.,,,Willows,CA,1,Open,Yes,09,12,High
2016-2017,CALIFORNIA,CA,Conservation Corps of Long Beach Gateway Cities Charter,69100813820,3635 Atlantic Ave.,,,Long Beach,CA,1,Open,Yes,09,12,High
2016-2017,CALIFORNIA,CA,Northcoast Preparatory and Performing Arts Academy,69100911934,1761 11th St.,,,Arcata,CA,1,Open,Yes,06,12,Other
2016-2017,CALIFORNIA,CA,Imperial Pathways Charter,69101014014,1398 Sperber Rd.,,,El Centro,CA,3,New,Yes,09,12,High
2016-2017,CALIFORNIA,CA,YouthBuild Charter School of California,69101112197,155 W. Washington Blvd.,Ste. 517,,Los Angeles,CA,1,Open,Yes,09,12,High
2016-2017,CALIFORNIA,CA,The Education Corps,69101113673,2824 S. Main St.,,,Los Angeles,CA,1,Open,Yes,09,12,High
2016-2017,CALIFORNIA,CA,College Bridge Academy,69101113704,2824 S. Main St.,,,Los Angeles,CA,1,Open,Yes,09,12,High
2016-2017,CALIFORNIA,CA,Valley Oaks Charter,69101208491,3501 Chester Ave.,,,Bakersfield,CA,1,Open,Yes,KG,12,Other
2016-2017,CALIFORNIA,CA,Wonderful College Prep Academy,69101212450,1942 Randolph St.,,,Delano,CA,1,Open,Yes,06,12,Other
2016-2017,CALIFORNIA,CA,Grimmway Academy,69101212948,901 Nectarine Ct.,,,Arvin,CA,1,Open,Yes,KG,08,Elementary
2016-2017,CALIFORNIA,CA,Pioneer Technical Center,69101710539,1025 S. Madera Ave.,,,Madera,CA,1,Open,Yes,09,12,High
2016-2017,CALIFORNIA,CA,Madera County Independent Academy,69101712301,28123 Ave. 14,,,Madera,CA,1,Open,Yes,KG,12,Other
2016-2017,CALIFORNIA,CA,Phoenix Academy,69101804617,1111 Las Gallinas Ave.,,,San Rafael,CA,1,Open,Yes,09,12,High
2016-2017,CALIFORNIA,CA,Merced Scholars Charter,69102010960,1850 Wardrobe Ave. Bldg. H,,,Merced,CA,1,Open,Yes,06,12,Other
2016-2017,CALIFORNIA,CA,Monterey County Home Charter,69102108529,901 Blanco Cir.,,,Salinas,CA,1,Open,Yes,KG,12,Other
2016-2017,CALIFORNIA,CA,Monterey Bay Charter,69102111695,1004 David Ave.,,,Pacific Grove,CA,1,Open,Yes,KG,08,Elementary
2016-2017,CALIFORNIA,CA,Bay View Academy,69102112864,222 Casa Verde Ave.,,,Monterey,CA,1,Open,Yes,KG,08,Elementary
2016-2017,CALIFORNIA,CA,Millennium Charter High,69102113148,901 Blanco Cir.,,,Salinas,CA,1,Open,Yes,09,12,High
2016-2017,CALIFORNIA,CA,John Muir Charter Schools,69102308230,12338 McCt.ney Rd.,,,Grass Valley,CA,1,Open,Yes,09,12,High
2016-2017,CALIFORNIA,CA,Forest Charter,69102311839,470 Searls Ave.,,,Nevada City,CA,1,Open,Yes,KG,12,Other
2016-2017,CALIFORNIA,CA,Sierra Montessori Academy,69102311840,16229 Duggans Rd.,,,Grass Valley,CA,1,Open,Yes,KG,08,Elementary
2016-2017,CALIFORNIA,CA,Twin Ridges Home Study Charter,69102311877,111 New Mohawk Rd.,,,Nevada City,CA,1,Open,Yes,KG,08,Elementary
2016-2017,CALIFORNIA,CA,Nevada City School of the Arts,69102311940,13032 Bitney Springs Rd.,Bldg. 8,,Nevada City,CA,1,Open,Yes,KG,08,Elementary
2016-2017,CALIFORNIA,CA,Bitney College Preparatory High,69102311975,135 Joerschke Dr.,,,Grass Valley,CA,1,Open,Yes,09,12,High
2016-2017,CALIFORNIA,CA,Yuba River Charter,69102311992,505 Main St.,,,Nevada City,CA,1,Open,Yes,KG,08,Elementary
2016-2017,CALIFORNIA,CA,EPIC de Cesar Chavez,69102313819,410 W. J St. Ste. A,,,Tehachapi,CA,1,Open,Yes,09,12,High
2016-2017,CALIFORNIA,CA,Orange County Academy of Sciences and Arts,69102400688,29292 Crown Valley Pkwy.,,,Laguna Niguel,CA,5,Changed Boundary,Yes,KG,08,Elementary
2016-2017,CALIFORNIA,CA,Samueli Academy,69102413076,1901 N. Fairview St.,,,Santa Ana,CA,1,Open,Yes,09,12,High
2016-2017,CALIFORNIA,CA,Vista Heritage Charter Middle,69102413905,2609 W. Fifth St.,,,Santa Ana,CA,1,Open,Yes,06,08,Middle
2016-2017,CALIFORNIA,CA,College and Career Preparatory Academy,69102413959,1669 E. Wilshire Ave.,,,Santa Ana,CA,1,Open,Yes,09,12,High
2016-2017,CALIFORNIA,CA,Oxford Preparatory Academy - Saddleback Valley,69102414001,22882 Loumont Dr.,,,Lake Forest,CA,3,New,Yes,KG,08,Elementary
2016-2017,CALIFORNIA,CA,Epic Charter School,69102414018,100 S. Anaheim Blvd. #150,,,Anaheim,CA,3,New,Yes,KG,12,Other
2016-2017,CALIFORNIA,CA,Citrus Springs Charter,69102414034,2121 N. Grand Ave.,,,Santa Ana,CA,3,New,Yes,KG,10,Other
2016-2017,CALIFORNIA,CA,Orange County Workforce Innovation High,69102414040,505 N. Euclid St.,,,Anaheim,CA,3,New,Yes,09,12,High
2016-2017,CALIFORNIA,CA,USC College Prep Santa Ana Campus,69102414046,1010 W. 17th St.,,,Santa Ana,CA,3,New,Yes,09,12,High
2016-2017,CALIFORNIA,CA,Scholarship Prep Charter School,69102414060,1010 W. 17th St.,,,Santa Ana,CA,3,New,Yes,KG,08,Elementary
2016-2017,CALIFORNIA,CA,CORE Placer Charter,69102512392,1033 S. Auburn St.,,,Colfax,CA,1,Open,Yes,KG,12,Other
2016-2017,CALIFORNIA,CA,Placer County Pathways Charter,69102513072,360 Nevada St.,,,Auburn,CA,1,Open,Yes,KG,12,Other
2016-2017,CALIFORNIA,CA,River Springs Charter,69102611707,43466 Business Park Dr.,,,Temecula,CA,1,Open,Yes,KG,12,Other
2016-2017,CALIFORNIA,CA,Imagine Schools Riverside County,69102612985,84-090 Ave. 50,Ste. 201,,Coachella,CA,1,Open,Yes,KG,03,Elementary
2016-2017,CALIFORNIA,CA,Riverside County Education Academy,69102612986,13730 Perris Blvd.,,,Moreno Valley,CA,1,Open,Yes,09,12,High
2016-2017,CALIFORNIA,CA,Come Back Kids,69102613694,3939 13th St.,,,Riverside CA 92501,CA,1,Open,Yes,09,12,High
2016-2017,CALIFORNIA,CA,Gateway College and Career Academy,69102613730,4800 Magnolia Ave.,,,Riverside,CA,1,Open,Yes,09,12,High
2016-2017,CALIFORNIA,CA,Riverside County Education Academy - Indio,69102614007,44-801 Golf Center Pkwy.,,,Indio,CA,3,New,Yes,09,12,High
2016-2017,CALIFORNIA,CA,Fortune,69102712959,6829 Stockton Blvd. # 380-C,,,Sacramento,CA,1,Open,Yes,KG,08,Elementary
2016-2017,CALIFORNIA,CA,Desert Trails Preparatory Academy,69102903819,14350 Bellflower Rd.,,,Adelanto,CA,5,Changed Boundary,Yes,KG,06,Elementary
2016-2017,CALIFORNIA,CA,Norton Space and Aeronautics Academy,69102912150,503 E. Central Ave.,,,San Bernardino,CA,1,Open,Yes,KG,12,Other
2016-2017,CALIFORNIA,CA,Literacy First Charter,69103010374,799 E. Washington Ave.,,,El Cajon,CA,1,Open,Yes,KG,12,Other
2016-2017,CALIFORNIA,CA,Venture Academy,69103110651,2829 Transworld Dr.,,,Stockton,CA,1,Open,Yes,KG,12,Other
2016-2017,CALIFORNIA,CA,one.Charter,69103112462,2707 Transworld Dr.,,,Stockton,CA,1,Open,Yes,KG,12,Other
2016-2017,CALIFORNIA,CA,San Joaquin Building Futures Academy,69103112662,3100 Monte Diablo Ave.,,,Stockton,CA,1,Open,Yes,09,12,High
2016-2017,CALIFORNIA,CA,River Islands Technology Academy II,69103113146,1175 Marina Dr.,,,Lathrop,CA,5,Changed Boundary,Yes,KG,08,Elementary
2016-2017,CALIFORNIA,CA,Grizzly ChalleNGe Charter,69103211281,721 Mendocino Ave.,Camp San Luis Obispo,,San Luis Obispo,CA,1,Open,Yes,10,12,High
2016-2017,CALIFORNIA,CA,Bullis Charter,69103511442,102 W. Portola Ave.,,,Los Altos,CA,1,Open,Yes,KG,08,Elementary
2016-2017,CALIFORNIA,CA,Discovery Charter,69103511792,4021 Teale Ave.,,,San Jose,CA,1,Open,Yes,KG,08,Elementary
2016-2017,CALIFORNIA,CA,Rocketship Mateo Sheedy Elementary,69103511864,788 Locust St.,,,San Jose,CA,1,Open,Yes,KG,05,Elementary
2016-2017,CALIFORNIA,CA,University Preparatory Academy Charter,69103512016,2315 Canoas Garden Ave.,,,San Jose,CA,1,Open,Yes,07,12,High
2016-2017,CALIFORNIA,CA,ACE Empower Academy,69103512198,625 S. Sunset Ave.,,,San Jose,CA,1,Open,Yes,05,08,Middle
2016-2017,CALIFORNIA,CA,Rocketship Si Se Puede Academy,69103512225,2249 Dobern Ave.,,,San Jose,CA,1,Open,Yes,KG,05,Elementary
2016-2017,CALIFORNIA,CA,Rocketship Los Suenos Academy,69103512478,331 S. 34th St.,,,San Jose,CA,1,Open,Yes,KG,05,Elementary
2016-2017,CALIFORNIA,CA,Summit Public School: Tahoma,69103512625,285 Blossom Hill Rd.,,,San Jose,CA,1,Open,Yes,09,12,High
2016-2017,CALIFORNIA,CA,Rocketship Discovery Prep,69103512668,370 Wooster St.,,,San Jose,CA,1,Open,Yes,KG,05,Elementary
2016-2017,CALIFORNIA,CA,Downtown College Prep - Alum Rock,69103512827,1776 Edal Park Dr.,,,San Jose,CA,1,Open,Yes,06,12,Other
2016-2017,CALIFORNIA,CA,Sunrise Middle,69103512865,1149 E. Julian St.,,,San Jose,CA,1,Open,Yes,06,08,Middle
2016-2017,CALIFORNIA,CA,Rocketship Alma Academy,69103513048,198 W. Alma Ave.,,,San Jose,CA,1,Open,Yes,KG,05,Elementary
2016-2017,CALIFORNIA,CA,Rocketship Academy Brilliant Minds,69103513073,2960 Story Rd.,,,San Jose,CA,1,Open,Yes,KG,05,Elementary
2016-2017,CALIFORNIA,CA,Summit Public School: Denali,69103513485,495 Mercury Dr.,,,Sunnyvale,CA,1,Open,Yes,06,12,Other
2016-2017,CALIFORNIA,CA,Discovery Charter II,69103513640,762 Sunset Glen Dr.,,,San Jose,CA,1,Open,Yes,KG,08,Elementary
2016-2017,CALIFORNIA,CA,Rocketship Fuerza Community Prep,69103513747,70 S. Jackson Ave.,,,San Jose,CA,1,Open,Yes,KG,05,Elementary
2016-2017,CALIFORNIA,CA,Alpha: Jose Hernandez Middle,69103513757,1601 Cunningham Ave.,,,San Jose,CA,1,Open,Yes,06,08,Middle
2016-2017,CALIFORNIA,CA,Spark Charter,69103513854,739 Morse Ave.,,,Sunnyvale,CA,1,Open,Yes,KG,08,Elementary
2016-2017,CALIFORNIA,CA,Voices College-Bound Language Academy at Morgan Hill,69103513875,16870 Murphy Ave.,,,Morgan Hill,CA,1,Open,Yes,KG,08,Elementary
2016-2017,CALIFORNIA,CA,Voices College-Bound Language Academy at Mt. Pleasant,69103513925,14271 Story Rd.,,,San Jose,CA,1,Open,Yes,KG,08,Elementary
2016-2017,CALIFORNIA,CA,Rocketship Rising Stars,69103513979,3167 Senter Rd.,,,San Jose,CA,3,New,Yes,KG,05,Elementary
2016-2017,CALIFORNIA,CA,Opportunity Youth Academy,69103514054,1290 Ridder Park Dr.,,,San Jose,CA,3,New,Yes,09,12,High
2016-2017,CALIFORNIA,CA,Pacific Collegiate Charter,69103608363,255 Swift St.,,,Santa Cruz,CA,1,Open,Yes,07,12,High
2016-2017,CALIFORNIA,CA,Chrysalis Charter,69103711800,21945 Old Forty-Four Dr.,,,Palo Cedro,CA,1,Open,Yes,KG,08,Elementary
2016-2017,CALIFORNIA,CA,Shasta County Independent Study Charter,69103712305,11555 Oregon Trail,,,Redding,CA,1,Open,Yes,07,12,High
2016-2017,CALIFORNIA,CA,Redding STEM Academy,69103713960,3711 Oasis Rd.,,,Redding,CA,1,Open,Yes,KG,08,Elementary
2016-2017,CALIFORNIA,CA,Golden Eagle Charter,69103812203,2405 S. Mount Shasta Blvd.,Ste. 3,,Mount Shasta,CA,1,Open,Yes,KG,12,Other
2016-2017,CALIFORNIA,CA,Valley Charter High,69104108409,108 Campus Way,,,Modesto,CA,1,Open,Yes,09,12,High
2016-2017,CALIFORNIA,CA,Great Valley Academy,69104112249,3200 Tully Rd.,,,Modesto,CA,1,Open,Yes,KG,08,Elementary
