SCHOOL_YEAR,STATENAME,ST,SCH_NAME,NCESSCH,LSTREET1,LSTREET2,LSTREET3,LCITY,LSTATE,SY_STATUS,SY_STATUS_TEXT,CHARTER_TEXT,GSLO,GSHI,LEVEL
2016-2017,ARIZONA,AZ,Cambridge Academy East,40018202964,20365 East Ocotillo Road,,,Queen Creek,AZ,1,Open,Yes,KG,08,Elementary
2016-2017,ARIZONA,AZ,Dobson Academy  The - A Ball Charter School,40018401713,2207 North Dobson Road,,,Chandler,AZ,1,Open,Yes,KG,08,Elementary
2016-2017,ARIZONA,AZ,SABIS International,40018502147,1903 E. Roeser Rd,,,Phoenix,AZ,1,Open,Yes,KG,08,Elementary
2016-2017,ARIZONA,AZ,Stepping Stones Academy,40018701906,35812 North 7th Street,,,Phoenix,AZ,1,Open,Yes,KG,08,Elementary
2016-2017,ARIZONA,AZ,East Valley Academy,40018901907,1858 East Brown Road,,,Mesa,AZ,1,Open,Yes,KG,06,Elementary
2016-2017,ARIZONA,AZ,Liberty Traditional Charter School,40019001908,4027 N. 45th Ave.,,,Phoenix,AZ,1,Open,Yes,KG,08,Elementary
2016-2017,ARIZONA,AZ,Liberty Traditional Charter School - Saddleback,40019003247,3715 N. Washington Ave.,,,Douglas,AZ,1,Open,Yes,KG,08,Elementary
2016-2017,ARIZONA,AZ,Champion Schools,40019101909,7900 South Jesse Owens Parkway,,,Phoenix,AZ,1,Open,Yes,KG,08,Elementary
2016-2017,ARIZONA,AZ,Sonoran Desert School,40019201910,4448 E. Main St.,Unit 7,,Mesa,AZ,1,Open,Yes,05,12,Other
2016-2017,ARIZONA,AZ,Pima Vocational High School,40020102069,1550 S 6th Ave,,,Tucson,AZ,1,Open,Yes,09,12,High
2016-2017,ARIZONA,AZ,Academy of Tucson High School,40020201959,10720 East 22nd Street,,,Tucson,AZ,1,Open,Yes,09,12,High
2016-2017,ARIZONA,AZ,Academy of Tucson Middle School,40020202312,7310 E. 22nd Street,,,Tucson,AZ,1,Open,Yes,05,08,Middle
2016-2017,ARIZONA,AZ,Academy of Tucson Elementary School,40020203141,9209 E. Wrightstown Road,,,Tucson,AZ,1,Open,Yes,KG,04,Elementary
2016-2017,ARIZONA,AZ,Mountain Rose Academy,40020401962,3686 W. Orange Grove Rd. 192,,,Tucson,AZ,1,Open,Yes,09,12,High
2016-2017,ARIZONA,AZ,Great Expectations Academy,40020501963,1466 W. Camino Antigua,,,Sahuarita,AZ,1,Open,Yes,KG,08,Elementary
2016-2017,ARIZONA,AZ,Desert Springs Academy,40020602073,10129 E. Speedway,,,Tucson,AZ,1,Open,Yes,KG,05,Elementary
2016-2017,ARIZONA,AZ,Mountain Oak Charter School,40020801970,124 N. Virginia Street,,,Prescott,AZ,1,Open,Yes,KG,08,Elementary
2016-2017,ARIZONA,AZ,Park View Middle School,40020901973,8300 E Dana Dr,,,Prescott Valley,AZ,1,Open,Yes,06,08,Middle
2016-2017,ARIZONA,AZ,Canyon View Prep Academy,40020903364,9030 E Florentine Road,,,Prescott Valley,AZ,1,Open,Yes,09,12,High
2016-2017,ARIZONA,AZ,Willow Creek Charter School,40021001974,2100 Willow Creek Rd,,,Prescott,AZ,1,Open,Yes,KG,08,Elementary
